Source,Format that we'll share in,Description,Tone,Caption,Credit,Meroka Twist,Platform to be shared,Link,Drive
Instagram,Reel,Video out flawed health insurance system  (claim reviewer has no medical license/clinical experience),"Funny, lighthearted",,@amivadadamd on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1vleFz8kWfsPu56KXJdD_HPCEKg_C8Oyf/view?usp=drive_link
Instagram,Reel,"Image with text over it, complaining about hardships of working in healthcare","Sad, desperation",,@docoffgrid on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1MtZDWmACOofmtlw27zxQCe8D3lY_wZXH/view?usp=drive_link
Instagram,Reel,"Video ""When your patient is telling you a story but you're 3 patients behind and haevn't had lunch yet""","Funny, lighthearted",,@5aadt on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/162AWM1KRaWVs18RnATYYumVmfdXmStfr/view?usp=drive_link
Instagram,Reel,"Video of a ex-doctor who needed a hug, but ended up quitting healthcare instead","Sad, low mood",,@drbeccasalmon on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1P80erFMrMa2AmUIvLepENVTvB_RoBhBb/view?usp=drive_link
Instagram,Reel,"Video of describign stark reality of healthcare for doctors (insane hours, ""can't remember my own name""","High energy, sarcastic",,@doctorchrisg on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1bPFM88ucDvcmEnl_z27tCNb9GC3tKmFJ/view?usp=drive_link
Instagram,Reel,"Video with text ""when people outside healthcare ask why we're always overstimulated but this is what we hear 12 hours a day""","Funny, sarcastic",,@drsteph.aesthetics on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1AjfxSyrSrL6l_H7Kkspz_evC4sVYA7D9/view?usp=drive_link
Instagram,Reel,"Revenant reference, hard to describe so go see it lol","Funny, meme",,@hospital_hustle on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1CDH69jIukPKJqJ2qp4WPGARMNg7qML3M/view?usp=drive_link
Instagram,Reel,"Doctor sitting on chair, seemingly tired after long shift, ""when the shift was so rough you get home and sit alone if your scrubs""","Tired, burntout",,@dr_ammar_ali_khan_ on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1HNsNIzLOkHhjdNPJzoRAiwJhZOMkZ1mQ/view?usp=drive_link
Instagram,Reel,"""Walking into your healthcare job when you're the one who needs healthcare"", referene to The Help","Tired, meme",,@thenursescholar on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1MNpfYPB7pYyoqq6yPEO2y9SReuXZ5lAH/view?usp=drive_link
Instagram,Reel,"""Me trying to answer texts at the hospital"", feat robert downey junior in warzone","Funny, meme",,N/A,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1e8m7kVnydyqmVKzi2hehqkiq0stFDhAu/view?usp=drive_link
Instagram,Reel,"Doctor ""fake"" hurting himself (finger gun to head"" whilst sayig, oh everything is great!","Sarcastic, funny",,@thelifestylecrna on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/12LuMVBRuQ-i3nqeVmTnqzSwRh2-pgAAD/view?usp=drive_link
TV Show,Video,"Clip from the Pitt, doctors going through day-to-day hardships","Funny, real",,@tntdrama on instagram,"Add caption over video, reference Doc","X, Instagram, TikTok",N/A,https://drive.google.com/file/d/1Njr5_lV65ULuLFprgzC4OaRUVase7oWt/view?usp=drive_link
Youtube,Reel,Interesting take: U.S. healthcare is SICK care. Compares China's healthcare vs U.S. healthcare and incentive structures,"Woke, rant",,@TheIcedCoffeeHour,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",N/A,https://drive.google.com/file/d/1e_Fdxn5TECtTtlw1RiqIh_uypVS7BMqL/view?usp=drive_link
Youtube,Reel,Doctor VS Insurance companies (roleplay video),"Funny, Sarcastic",,@DoctorRich,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",N/A,https://drive.google.com/file/d/1-3OErBB8PTyvM1h-B1QET60BY3Ds0FuD/view?usp=drive_link
Youtube,Reel,Doctor explaining how he had to quit because he needed to prioritize his kids,"Sad, Catalystic",,@hipaulyang,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",N/A,https://drive.google.com/file/d/166GuDiC8vH6ZuSvzV7FGNFarxDYnJVZa/view?usp=drive_link
Youtube,Reel,Exposes how health insurance is a scam,"Rant, Woke",,@DoctorMike,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",N/A,https://drive.google.com/file/d/1QkTD_b0rsMW0CXiamdvhyp2bi1821LsI/view?usp=drive_link
Youtube,Reel,Discusses burnout --> extreme effort with a lack of reward,"Rant, Woke",,@HealthyGamerGG,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",N/A,https://drive.google.com/file/d/1tvZdxIZGAY4UFe68-GF9v226khnUrG3U/view?usp=drive_link
Youtube,Audio snippet,"
I Was An MIT Educated Neurosurgeon Now I'm Unemployed And Alone In The Mountains How Did I Get Here?

Relevant quotes
""The focus of medicine wasn't in the right place. It wasn't in healing—it was in making money from surgeries and pills"" (30:38)
""If you figure out a way to help patients heal and that way doesn't include a pill or a surgery... well then the hospital and the doctor are in big trouble"" (26:24)
""The incentives are not right in the whole system... it's not about prevention, it's about therapies"" (31:06)
""If you figure out a way to help people heal and you can't charge them for it, well then you've just worked yourself out of a job"" (26:48)",Awakening,,@Goobie and Doobie,"Take away video, keep speech and turn it into a voice memo format (just like Doc UI)","X, Instagram",https://www.youtube.com/watch?v=25LUF8GmbFU,
